,Game,Initial,Final,Reward
11572,12155,10000.0,9813.66,-533.84
11573,5444,10000.0,10027.6,-187.4
11574,3359,10000.0,10741.53,599.53
11575,6114,10000.0,10109.46,-59.04
11576,542,10000.0,9482.66,-1137.34
11577,8547,10000.0,9952.14,-338.86
11578,7740,10000.0,10074.68,-50.32
11579,529,10000.0,9699.24,-1042.26
11580,9350,10000.0,9952.78,-194.72
11581,7605,10000.0,9983.32,-146.18
11582,12792,10000.0,9998.62,-133.38
11583,9750,10000.0,10000.0,0.0
11584,11493,10000.0,10000.0,0.0
11585,7580,10000.0,10026.85,-89.15
11586,2248,10000.0,10290.54,181.54
11587,8549,10000.0,9932.78,-260.72
11588,7594,10000.0,10152.71,61.21
11589,6746,10000.0,10060.0,-138.5
11590,5258,10000.0,10157.0,109.5
11591,10222,10000.0,9773.92,-494.08
11592,2156,10000.0,9922.85,-356.15
11593,8196,10000.0,9947.85,-277.15
11594,12790,10000.0,9947.52,-235.98
11595,898,10000.0,9784.47,-513.53
11596,10518,10000.0,9980.0,-275.0
11597,7831,10000.0,9980.0,-158.0
11598,5982,10000.0,9993.92,-195.08
11599,5214,10000.0,10015.27,-144.23
11600,13040,10000.0,9910.88,-350.12
11601,6107,10000.0,10086.25,-35.75
11602,7132,10000.0,9663.03,-964.47
11603,6412,10000.0,10260.5,145.5
11604,9472,10000.0,10780.0,679.0
11605,11321,10000.0,9983.96,-151.04
11606,8538,10000.0,10034.08,-128.92
11607,3072,10000.0,10000.0,-19.5
11608,7143,10000.0,9677.0,-641.5
11609,5361,10000.0,10085.7,-60.3
11610,5487,10000.0,9828.2,-632.3
11611,2833,10000.0,9987.5,-150.5
11612,6804,10000.0,10043.25,-148.25
11613,11110,10000.0,10322.38,213.38
11614,13888,10000.0,9971.07,-261.43
11615,8706,10000.0,9908.68,-274.32
11616,12719,10000.0,9941.2,-324.3
11617,4398,10000.0,10380.0,193.0
11618,12961,10000.0,9846.75,-448.25
11619,395,10000.0,10000.76,-296.24
11620,4883,10000.0,10088.9,-177.1
11621,13832,10000.0,9920.62,-365.88
11622,8332,10000.0,9890.45,-377.55
11623,5023,10000.0,10001.76,-184.74
11624,7890,10000.0,10031.41,-93.59
11625,13289,10000.0,10161.36,3.86
11626,5666,10000.0,10281.88,269.38
11627,5082,10000.0,10026.99,-116.01
11628,9121,10000.0,9993.1,-152.9
11629,4024,10000.0,10028.4,-185.1
11630,10728,10000.0,11187.44,1063.44
11631,11703,10000.0,9921.44,-357.56
11632,12342,10000.0,9998.27,-154.73
11633,12051,10000.0,10516.4,380.9
11634,142,10000.0,9868.21,-450.79
11635,59,10000.0,9704.1,-999.9
11636,7099,10000.0,10233.98,127.98
11637,8586,10000.0,9888.35,-387.65
11638,8805,10000.0,9824.23,-402.27
11639,5550,10000.0,10333.43,320.93
11640,5413,10000.0,10269.56,160.56
11641,7849,10000.0,10364.6,340.1
11642,12535,10000.0,10021.07,-94.93
11643,3834,10000.0,10100.9,-56.1
11644,11443,10000.0,10033.5,-88.5
11645,5110,10000.0,10009.65,-243.35
11646,5008,10000.0,10295.81,132.81
11647,3703,10000.0,9923.07,-343.93
11648,13494,10000.0,10044.33,-143.67
11649,5903,10000.0,9982.52,-158.48
11650,374,10000.0,10049.7,-146.3
11651,12116,10000.0,10113.65,19.65
11652,9678,10000.0,10191.2,82.2
11653,6858,10000.0,11408.5,1212.5
11654,3858,10000.0,10582.16,435.16
11655,8782,10000.0,9988.1,-134.9
11656,11176,10000.0,10071.31,-70.19
11657,1232,10000.0,9947.65,-321.35
11658,4117,10000.0,9794.45,-502.05
11659,279,10000.0,10133.55,-11.95
11660,1735,10000.0,9968.61,-196.39
11661,2032,10000.0,9994.01,-155.49
11662,7639,10000.0,10455.46,427.96
11663,5306,10000.0,9739.35,-741.15
